cosmic_id,cell_line_name,tissue_descriptor,tcga_code,msi_status
906794,A253,aero_dig_tract,UNCLASSIFIED,MSS/MSI-L
753531,BB30-HNC,aero_dig_tract,HNSC,MSS/MSI-L
753532,BB49-HNC,aero_dig_tract,HNSC,MSS/MSI-L
753535,BHY,aero_dig_tract,HNSC,MSS/MSI-L
1290724,BICR10,aero_dig_tract,HNSC,MSS/MSI-L
1240121,BICR22,aero_dig_tract,HNSC,MSS/MSI-L
1290725,BICR31,aero_dig_tract,HNSC,MSS/MSI-L
1240122,BICR78,aero_dig_tract,HNSC,MSS/MSI-L
753538,CA9-22,aero_dig_tract,HNSC,MSS/MSI-L
910916,CAL-27,aero_dig_tract,HNSC,MSS/MSI-L
753541,CAL-33,aero_dig_tract,HNSC,MSS/MSI-L
906837,DETROIT562,aero_dig_tract,HNSC,MSS/MSI-L
910936,DOK,aero_dig_tract,HNSC,MSS/MSI-L
906863,FADU,aero_dig_tract,HNSC,MSS/MSI-L
1240140,H3118,aero_dig_tract,UNCLASSIFIED,MSS/MSI-L
907059,HN,aero_dig_tract,HNSC,MSS/MSI-L
924111,HO-1-N-1,aero_dig_tract,HNSC,MSS/MSI-L
753561,HO-1-U-1,aero_dig_tract,HNSC,MSS/MSI-L
753562,HSC-2,aero_dig_tract,HNSC,MSS/MSI-L
907061,HSC-3,aero_dig_tract,HNSC,MSS/MSI-L
907062,HSC-4,aero_dig_tract,HNSC,MSS/MSI-L
1240161,JHU-011,aero_dig_tract,HNSC,MSS/MSI-L
1240162,JHU-022,aero_dig_tract,HNSC,MSS/MSI-L
1298215,KON,aero_dig_tract,HNSC,MSS/MSI-L
753570,KOSC-2,aero_dig_tract,HNSC,MSS/MSI-L
753583,LB771-HNC,aero_dig_tract,HNSC,MSS/MSI-L
1298362,OSC-19,aero_dig_tract,HNSC,MSS/MSI-L
1240196,OSC-20,aero_dig_tract,HNSC,MSS/MSI-L
1240204,PCI-15A,aero_dig_tract,HNSC,MSS/MSI-L
1298529,PCI-30,aero_dig_tract,HNSC,MSS/MSI-L
1240205,PCI-38,aero_dig_tract,HNSC,MSS/MSI-L
1298531,PCI-4B,aero_dig_tract,HNSC,MSS/MSI-L
1240206,PCI-6A,aero_dig_tract,HNSC,MSS/MSI-L
1240207,PE/CA-PJ15,aero_dig_tract,HNSC,MSS/MSI-L
909700,RPMI-2650,aero_dig_tract,HNSC,MSS/MSI-L
909708,SAS,aero_dig_tract,HNSC,MSS/MSI-L
1299050,SAT,aero_dig_tract,HNSC,MSS/MSI-L
910911,SCC-15,aero_dig_tract,HNSC,MSS/MSI-L
910701,SCC-25,aero_dig_tract,HNSC,MSS/MSI-L
910904,SCC-4,aero_dig_tract,HNSC,MSS/MSI-L
909709,SCC-9,aero_dig_tract,HNSC,MSS/MSI-L
1299059,SKN-3,aero_dig_tract,HNSC,MSS/MSI-L
906817,COLO-680N,aero_dig_tract,ESCA,MSS/MSI-L
753555,EC-GI-10,aero_dig_tract,ESCA,MSS/MSI-L
1503366,ESO26,aero_dig_tract,ESCA,MSS/MSI-L
1503367,ESO51,aero_dig_tract,ESCA,MSS/MSI-L
1503361,FLO-1,aero_dig_tract,ESCA,MSS/MSI-L
753559,HCE-4,aero_dig_tract,ESCA,MSS/MSI-L
1503368,KYAE-1,aero_dig_tract,ESCA,MSS/MSI-L
753573,KYSE-140,aero_dig_tract,ESCA,MSS/MSI-L
907317,KYSE-150,aero_dig_tract,ESCA,MSS/MSI-L
907318,KYSE-180,aero_dig_tract,ESCA,MSS/MSI-L
1240167,KYSE-220,aero_dig_tract,ESCA,MSS/MSI-L
907319,KYSE-270,aero_dig_tract,ESCA,MSS/MSI-L
753574,KYSE-410,aero_dig_tract,ESCA,MSS/MSI-L
907320,KYSE-450,aero_dig_tract,ESCA,MSS/MSI-L
1298222,KYSE-50,aero_dig_tract,ESCA,MSS/MSI-L
