drug_id,drug_name,target_gene,target_pathway
1,Erlotinib,EGFR,EGFR signaling
3,Rapamycin,MTORC1,PI3K/MTOR signaling
5,Sunitinib,"PDGFR, KIT, VEGFR, FLT3, RET, CSF1R",RTK signaling
6,Pha-665752,MET,RTK signaling
9,Mg-132,"Proteasome, CAPN1",Protein stability and degradation
11,Paclitaxel,Microtubule stabiliser,Mitosis
17,Cyclopamine,SMO,Other
29,Az628,BRAF,ERK MAPK signaling
30,Sorafenib,"PDGFR, KIT, VEGFR, RAF",RTK signaling
32,Tozasertib,"AURKA, AURKB, AURKC, others",Mitosis
34,Imatinib,"ABL, KIT, PDGFR","Other, kinases"
35,Nvp-Tae684,ALK,RTK signaling
37,Crizotinib,"MET, ALK, ROS1",RTK signaling
38,Saracatinib,"ABL, SRC","Other, kinases"
41,S-Trityl-L-Cysteine,KIF11,Mitosis
45,Z-Llnle-Cho,gamma-secretase,Other
51,Dasatinib,"ABL, SRC, Ephrins, PDGFR, KIT",RTK signaling
52,Gnf-2,BCR-ABL,ABL signaling
53,Cgp-60474,"CDK1,CDK2,CDK5,CDK7,CDK9, PKC",Cell cycle
54,Cgp-082996,CDK4,Cell cycle
55,A-770041,"LCK, FYN","Other, kinases"
56,Wh-4-023,"SRC, LCK","Other, kinases"
59,Wz-1-84,BMX,"Other, kinases"
60,Bi-2536,"PLK1, PLK2, PLK3",Cell cycle
62,Bms-536924,"IGF1R, IR",IGF1R signaling
63,Bms-509744,ITK,"Other, kinases"
64,Cmk,RSK2,"Other, kinases"
71,Pyrimethamine,Dihydrofolate reductase (DHFR),Other
83,Jw-7-52-1,MTOR,PI3K/MTOR signaling
86,A-443654,"AKT1, AKT2, AKT3",PI3K/MTOR signaling
87,Gw843682X,PLK1,Cell cycle
88,Entinostat,"HDAC1, HDAC3",Chromatin histone acetylation
89,Parthenolide,HDAC1,Chromatin histone acetylation
91,Gsk319347A,IKK,"Other, kinases"
94,Tgx221,PI3Kbeta,PI3K/MTOR signaling
104,Bortezomib,Proteasome,Protein stability and degradation
106,Xmd8-85,"ERK5, BET",Other
110,Seliciclib,"CDK2, CDK7, CDK9",Cell cycle
111,Salubrinal,EIF2A,Other
119,Lapatinib,"EGFR, ERBB2",RTK signaling
127,Gsk269962A,"ROCK1, ROCK2",Cytoskeleton
133,Doxorubicin,Anthracycline,DNA replication
134,Etoposide,TOP2,DNA replication
135,Gemcitabine,Pyrimidine antimetabolite,DNA replication
136,Mitomycin-C,DNA crosslinker,DNA replication
